ARID3A	ARNT	ATF2	ATF3	ATF4	ATF7	BACH1	BHLHE40	BRCA1	CBX5	CDC5L	CEBPB	CREB3L1	CTCF	CUX1	E2F1	E2F7	E2F8	E4F1	EGR1	ELF1	ELF4	ELK1	EP300	ESRRA	ETV6	EWSR1	FOXA1	FOXM1	GABPA	GATA1	GATA2	GMEB1	HES1	HMBOX1	IKZF1	IRF1	KLF16	MAFF	MAFK	MAX	MEF2A	MEIS2	MGA	MNT	MYBL2	MYC	NFE2	NFIC	NR2C2	NR2F1	NR2F2	NR2F6	NR3C1	NRF1	PKNOX1	POU5F1	REST	RFX1	RFX5	RUNX1	SP1	SREBF1	STAT1	STAT5A	TAL1	TBP	TCF12	TCF7	TCF7L2	TEAD4	THRA	YY1	ZBTB7A	ZNF143	ZNF282	ZNF384
SAMD11	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	1	1	4	0	0	0	2	1	0	0	0	1	0	0	0	3	1	0	2	0	1	0	0	4	0	3	0	0	0	2	0	4	0	1	1	1	0	2	2	0	1	0	0	0	2	0	0	1	1	1	0	0	0	1	0	1	5	1	1	1
NOC2L	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	3	0	0	7	0	0	1	3	0	0	0	6	0	1	3	5	0	4	0	0	0	0	1	0	0	5	2	0	0	1	0	1	3	0	0	0	0	2	0	0	0	1	0	2	4	2	4	0
KLHL17	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	3	0	0	7	0	0	1	3	0	0	0	6	0	1	3	5	0	4	0	0	0	0	1	0	0	5	2	0	0	1	0	1	3	0	0	0	0	2	0	0	0	1	0	2	4	2	4	0
PLEKHN1	0	0	0	0	0	4	0	4	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	3	0	0	0	0	3	0	0	7	0	0	0	3	0	0	0	7	0	1	3	5	0	4	0	0	0	2	1	1	0	5	2	0	0	1	0	1	5	0	0	0	0	2	0	0	0	1	0	2	6	2	4	0
HES4	0	1	1	3	1	4	0	5	0	1	2	2	6	2	0	1	0	4	2	6	1	1	0	3	3	0	0	0	0	1	1	0	3	2	0	2	2	2	0	0	7	0	3	3	1	0	4	0	3	0	5	3	0	0	3	3	0	2	0	1	0	2	0	0	0	1	3	1	3	0	2	0	2	8	1	5	0
ISG15	0	2	0	2	0	3	0	3	0	0	0	0	1	2	0	0	0	1	2	4	1	2	0	3	1	0	0	0	1	1	1	0	3	0	1	3	2	1	0	0	8	0	3	1	1	0	4	0	3	0	3	5	0	0	2	3	0	1	0	0	0	1	0	1	0	2	1	1	1	0	2	0	1	4	1	4	0
AGRN	0	2	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	1	2	0	1	0	2	0	0	0	0	1	1	0	0	2	0	1	3	3	0	0	0	6	0	2	0	1	0	3	0	2	0	0	2	0	0	2	2	0	1	0	0	0	1	0	1	0	2	1	0	0	0	2	0	0	6	1	2	0
RNF223	0	0	1	1	1	2	0	3	0	0	0	1	3	0	0	0	0	0	1	10	2	0	1	0	0	0	0	0	0	2	0	0	5	0	0	2	2	1	0	0	8	0	4	3	3	0	5	0	2	0	4	2	2	0	5	3	0	1	1	0	1	2	0	0	0	1	1	1	0	0	1	0	0	4	0	0	0
C1orf159	0	0	0	0	0	4	1	3	0	2	0	0	3	1	0	1	0	2	3	2	0	1	0	1	4	0	0	0	0	2	1	0	5	0	2	0	1	1	0	0	7	0	3	2	1	0	1	1	3	0	1	0	0	0	4	2	1	2	1	0	0	2	1	0	0	0	1	0	0	0	2	0	2	4	1	1	1
TNFRSF18	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	5	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	1
TNFRSF4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
SDF4	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	3	1	1	2	0	0	2	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	4	0	1	3	2	0	0	0	2	0	2	1	1	0	3	0	2	2	0	0	1	1	0	0	0	0	3	0	0	0	3	0	1	4	0	1	0
B3GALT6	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	3	1	1	2	0	0	2	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	4	0	1	3	2	0	0	0	2	0	2	1	1	0	3	0	2	2	0	0	1	1	0	0	0	0	3	0	0	0	3	0	1	4	0	1	0
UBE2J2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0
ACAP3	1	0	1	2	0	5	1	6	0	1	0	2	1	4	0	0	0	0	0	6	3	2	1	1	2	0	0	0	0	2	1	0	4	0	0	1	3	0	0	1	11	0	2	1	5	0	5	1	4	0	1	0	0	0	4	0	0	4	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	7	2	2	0
PUSL1	1	0	1	3	0	5	1	6	0	1	0	2	1	4	0	0	0	0	0	6	3	2	1	2	2	0	0	0	0	2	1	0	4	0	0	1	3	0	0	1	11	0	2	1	5	0	5	1	5	0	1	0	0	0	4	0	0	4	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	7	2	2	0
CPSF3L	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0
TAS1R3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	3	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	4	0	2	0	1	0	0	0	0	1	0	0	0
DVL1	0	0	1	2	0	3	0	1	0	0	0	0	3	4	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	0	2	1	0	6	0	2	0	3	1	0	0	2	0	0	2	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	6	1	2	0
MXRA8	0	0	1	1	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	2	0	2	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
AURKAIP1	2	1	1	2	1	4	2	1	0	1	1	0	2	3	1	1	0	1	4	2	2	3	1	1	1	1	0	0	1	3	1	0	2	0	0	1	1	0	1	1	2	0	1	0	2	0	2	1	3	0	0	0	1	0	2	3	1	2	0	1	0	2	0	0	0	0	1	0	1	1	1	0	1	4	3	1	2
CCNL2	2	0	0	0	0	4	0	3	0	3	0	2	4	4	0	2	0	4	4	2	3	3	3	1	4	0	0	0	0	3	0	0	2	1	0	2	2	0	0	0	7	0	3	3	6	0	4	1	3	0	3	2	0	0	2	3	1	4	2	1	0	3	1	1	0	6	1	1	3	0	2	0	3	3	3	1	4
MRPL20	2	0	0	0	0	4	0	3	0	4	0	2	4	4	0	2	0	4	3	2	3	3	3	1	4	0	0	0	0	3	0	0	2	1	0	1	2	0	0	0	7	0	3	3	6	0	4	1	3	0	3	2	0	0	2	2	1	3	2	1	0	3	1	1	0	6	1	1	3	0	2	0	3	3	3	1	3
