ARID3A	ARNT	ATF2	ATF3	ATF4	ATF7	BACH1	BHLHE40	BRCA1	CBX5	CDC5L	CEBPB	CREB3L1	CTCF	CUX1	E2F1	E2F7	E2F8	E4F1	EGR1	ELF1	ELF4	ELK1	EP300	ESRRA	ETV6	EWSR1	FOXA1	FOXM1	GABPA	GATA1	GATA2	GMEB1	HES1	HMBOX1	IKZF1	IRF1	KLF16	MAFF	MAFK	MAX	MEF2A	MEIS2	MGA	MNT	MYBL2	MYC	NFE2	NFIC	NR2C2	NR2F1	NR2F2	NR2F6	NR3C1	NRF1	PKNOX1	POU5F1	REST	RFX1	RFX5	RUNX1	SP1	SREBF1	STAT1	STAT5A	TAL1	TBP	TCF12	TCF7	TCF7L2	TEAD4	THRA	YY1	ZBTB7A	ZNF143	ZNF282	ZNF384
ANKRD65	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0
VWA1	0	0	0	0	0	3	0	3	0	0	0	0	1	2	0	0	1	0	0	4	1	1	0	1	2	0	0	0	0	1	0	0	2	0	0	3	1	0	0	0	3	0	0	0	4	0	3	1	2	0	1	1	1	0	2	0	0	2	0	0	1	1	0	0	0	1	1	0	0	0	2	0	0	10	1	2	1
ATAD3B	0	0	1	0	0	2	0	1	0	0	3	1	2	0	0	1	1	1	0	2	0	2	0	1	2	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	2	0	1	2	1	0	1	3	1	0	0	0	0	0	1	1	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
ATAD3A	0	1	1	1	0	4	0	2	0	0	2	0	1	2	0	3	1	3	3	2	3	2	1	0	3	0	0	0	2	1	0	0	3	2	1	2	1	1	0	1	3	0	2	5	3	1	2	1	3	0	4	0	1	2	1	2	1	3	1	1	1	1	1	0	0	2	1	0	1	0	1	0	0	2	0	1	0
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	0	0	1	1	1	2	1	3	0	1	0	0	1	2	0	3	0	1	1	1	2	1	2	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	3	0	2	2	4	0	4	1	2	0	0	1	0	0	2	1	1	1	0	1	0	1	1	0	0	0	2	0	1	1	2	0	1	2	0	0	2
C1orf233	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MIB2	0	0	0	0	1	1	0	3	0	1	0	1	2	1	0	1	0	1	3	3	2	2	1	2	2	0	0	0	0	1	0	0	3	0	0	1	2	0	0	0	3	0	1	0	2	0	3	0	2	0	0	0	0	0	1	2	1	2	2	1	1	2	1	0	0	1	2	1	0	0	2	0	0	1	2	1	0
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	0	0	1	1	1	2	0	0	0	1	0	1	2	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	4	2	0	1	1	0	0	2	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC35E2	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	2	3	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	1
NADK	0	0	0	0	2	3	0	3	0	1	0	1	4	3	0	0	0	1	2	5	1	2	0	1	2	0	0	0	1	1	0	0	5	0	0	2	0	0	1	1	6	0	2	4	6	0	6	1	5	0	1	1	2	0	6	4	0	5	0	0	1	1	0	0	0	0	1	0	2	0	3	0	1	4	1	5	1
GNB1	0	1	0	2	0	3	0	3	0	0	0	2	1	1	0	0	0	0	2	4	1	1	0	4	6	2	0	0	1	1	1	1	5	1	1	2	2	1	1	1	5	0	2	4	0	0	4	2	2	0	3	2	1	0	2	2	0	1	0	0	1	0	0	0	0	1	4	2	0	0	3	0	1	4	0	4	2
TMEM52	0	0	0	0	0	2	0	4	0	0	0	1	3	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	4	0	1	1	2	0	4	0	4	0	0	1	0	0	2	1	0	1	0	0	1	3	0	0	0	1	2	0	0	0	1	0	0	2	1	1	1
PRKCZ	0	0	0	0	0	1	0	2	0	0	1	0	0	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	3	0	0	0	2	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1
SKI	0	0	0	0	0	3	0	3	0	0	0	2	4	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	6	0	2	2	1	0	3	0	1	0	0	0	0	0	4	2	0	2	0	0	1	2	0	1	0	1	1	0	0	0	1	0	1	7	1	2	0
MORN1	0	0	0	0	0	1	0	2	0	0	0	1	2	2	0	1	0	1	1	2	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	4	0	1	0	1	0	2	0	2	0	0	0	0	0	1	1	0	2	1	0	0	2	1	0	0	0	1	0	0	0	0	0	2	0	1	2	1
RER1	0	0	0	0	0	1	0	2	0	0	0	1	2	2	0	1	0	1	1	2	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	4	0	1	0	1	0	2	0	2	0	0	0	0	0	1	1	0	2	1	0	0	2	1	0	0	0	1	0	0	0	0	0	2	0	1	2	1
PEX10	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	3	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	5	0	1	3	2	0	3	0	0	0	0	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	2	4	0
PLCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
PANK4	0	0	0	0	3	0	0	1	0	0	0	1	1	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	5	1	1	0
HES5	0	0	0	0	3	0	0	1	0	0	0	1	1	2	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	5	2	1	0
TNFRSF14	0	0	0	0	0	2	0	4	0	0	0	1	1	5	0	0	0	0	2	4	4	1	2	0	1	0	0	0	1	1	0	0	2	0	0	0	4	1	0	0	8	0	0	4	4	0	4	0	6	0	0	2	0	0	7	0	0	4	2	0	0	2	0	1	0	1	3	0	1	0	0	0	0	4	5	0	1
FAM213B	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	1	0	3	0	2	0	1	3	0	0	0	1	1	1	1	0	0	0	1	2	1	1	0	5	0	2	3	1	0	3	0	4	0	1	1	1	0	2	0	0	2	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	2	0
PRDM16	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	1	0	0	2	0	0	0	3	1	1	0	3	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
MEGF6	0	0	1	4	2	2	0	3	0	0	1	1	0	3	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0
TPRG1L	0	0	0	1	1	3	0	3	0	0	0	1	1	4	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	2	1	0	2	1	0	1	1	2	0	0	4	0	2	0	2	0	2	0	0	0	1	0	0	0	2	2	1	4	1	0	0	1	0	0	1	2	1	2	0	0	2	0	1	1	1	0	0
WRAP73	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	2	0	1	1	2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1
TP73	0	0	2	1	0	2	0	1	0	0	0	0	1	1	0	2	0	1	1	2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	1
LRRC47	0	2	0	2	1	1	0	3	0	1	0	0	2	1	0	2	0	1	2	3	1	2	1	1	1	0	0	0	0	1	1	0	2	1	1	1	0	1	1	1	3	0	1	3	3	0	1	1	4	0	2	2	1	0	2	2	0	1	2	0	0	1	1	0	1	2	3	1	1	0	1	0	1	2	1	0	2
CEP104	0	0	0	0	0	1	0	1	0	0	0	0	2	2	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	1	2	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0
DFFB	0	0	0	0	0	1	0	1	0	0	0	0	2	2	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	1	2	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0
C1orf174	0	2	1	0	1	4	0	2	0	1	1	1	1	3	0	1	0	2	2	5	2	2	1	0	4	0	0	0	0	1	0	0	3	0	0	1	3	0	0	0	5	0	0	3	4	1	4	0	2	0	3	1	2	0	3	3	1	1	0	1	0	2	0	0	0	0	2	0	1	0	0	0	2	2	2	0	0
AJAP1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
KCNAB2	2	0	0	0	0	1	1	3	0	0	0	0	1	2	0	1	0	1	4	3	2	1	0	2	1	0	0	0	0	3	0	0	3	0	0	2	1	0	2	2	4	0	2	1	2	0	2	3	1	0	1	1	1	0	2	2	0	1	1	1	2	2	0	0	0	1	2	0	2	1	0	0	0	5	0	2	0
NPHP4	2	0	0	0	0	1	1	3	0	0	0	0	1	2	0	1	0	1	4	3	2	1	0	2	1	0	0	0	0	3	0	0	3	0	0	2	1	0	2	2	4	0	2	1	2	0	2	3	1	0	1	1	1	0	2	2	0	1	1	1	2	2	0	0	0	1	2	0	2	1	0	0	0	5	0	2	0
RPL22	1	1	0	0	0	3	0	5	0	0	0	2	3	4	2	2	0	1	3	3	2	4	0	1	3	0	0	0	1	0	0	0	4	0	1	3	3	1	1	1	6	0	3	4	3	0	7	0	2	1	4	2	0	0	5	1	0	4	0	0	2	2	0	0	0	1	4	0	0	1	2	0	1	3	3	5	3
RNF207	1	1	0	0	0	3	0	5	0	0	0	1	3	5	2	2	0	1	3	3	2	4	0	1	3	0	0	0	1	0	0	0	4	0	2	3	3	1	1	1	6	0	4	4	3	0	7	0	2	1	4	2	0	0	5	1	0	4	0	0	2	2	0	0	0	1	4	0	0	1	2	0	1	4	3	5	3
ICMT	0	1	0	0	0	1	0	1	0	0	0	1	1	3	0	0	0	2	2	2	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	6	0	1	0	2	0	3	2	3	0	0	1	0	0	3	1	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	3	2	0	1
HES3	0	1	0	0	0	3	0	1	0	0	0	1	1	5	0	0	0	2	2	5	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	1	1	8	0	1	0	2	0	3	2	3	0	0	1	0	0	7	2	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	4	3	2	1
GPR153	0	0	1	1	1	1	0	1	0	0	0	1	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
ACOT7	0	0	1	1	2	2	0	1	0	0	0	2	1	2	0	0	0	0	2	1	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	2	2	1	0	0	2	0	1	2	2	0	1	0	2	0	1	0	0	0	2	0	0	2	0	0	0	2	0	0	0	1	2	1	0	0	2	0	2	2	0	0	1
HES2	0	0	0	2	1	0	0	6	0	2	0	1	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	2	0	2	2	1	0	1	0	3	0	0	7	0	1	0	1	0	3	1	2	0	2	3	0	0	5	0	0	2	1	0	0	0	0	0	2	2	1	2	0	0	3	0	0	4	2	1	0
ESPN	0	0	0	1	0	0	0	5	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	2	0	2	2	1	0	1	0	2	0	0	6	0	1	0	0	0	2	1	2	0	3	3	0	0	4	0	0	2	1	0	0	0	0	0	2	2	1	2	0	0	3	0	0	3	1	1	0
TNFRSF25	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	2	0	0
PLEKHG5	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	2	0	1	0	0	1	0	1	0	1	0	0	0	4	0	2	2	0	0	0	1	0	0	2	0	0	0	0	0	1	2	0	1	0	0	3	0	0	0	1	1	2
NOL9	0	1	0	0	1	1	0	1	0	0	0	1	2	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	1	0	0	0	1	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	2	1	1	0	0	2	0	1	2	1	1	1
ZBTB48	0	0	0	0	0	2	0	3	0	0	0	0	0	1	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	1	0	2	2	6	0	0	0	3	0	5	1	1	0	2	0	1	0	2	1	0	2	2	0	0	1	0	0	0	2	2	1	1	0	4	0	1	1	1	0	0
KLHL21	2	0	1	3	1	4	2	4	0	1	0	1	1	3	0	2	1	0	6	4	2	2	1	2	1	0	0	0	1	0	0	0	3	2	2	3	2	0	1	1	6	0	2	3	4	0	5	2	4	0	3	1	1	0	7	2	1	3	1	0	0	3	1	0	2	2	4	0	2	0	3	0	3	4	2	1	1
PHF13	1	0	1	0	1	3	0	1	0	0	0	2	1	4	0	2	1	1	6	4	2	3	1	2	1	0	0	0	0	1	0	0	3	2	0	3	1	0	0	0	6	0	0	2	3	0	2	0	2	0	3	1	1	0	4	1	2	1	0	0	0	1	2	0	0	2	3	0	0	0	2	0	2	7	2	3	2
THAP3	0	0	1	1	0	2	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	4	0	1	0	2	0	1	0	2	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	0	2	3	0	1	1
DNAJC11	0	0	0	0	1	2	0	1	0	0	0	2	2	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1
CAMTA1	1	0	2	1	2	3	0	2	0	0	0	1	2	2	0	1	1	1	3	2	1	2	0	0	2	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	3	0	0	1	3	0	2	1	0	0	1	0	0	0	6	2	0	3	0	1	1	1	0	0	0	0	2	1	0	0	0	0	0	1	0	0	3
VAMP3	0	1	0	1	1	2	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	2	2	0	0	0	2	0	1	1	1	0	2	0	0	0	2	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
UTS2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
TNFRSF9	0	0	0	3	1	0	0	1	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PARK7	0	1	1	0	0	2	0	2	0	1	0	0	4	4	1	3	0	2	2	4	2	2	1	2	3	0	0	0	1	3	0	0	3	1	0	2	2	0	1	2	3	0	1	3	2	0	4	1	3	0	2	1	2	0	2	2	0	0	0	1	0	1	2	0	0	2	2	0	1	1	1	0	0	3	1	1	1
ERRFI1	1	0	1	1	1	3	0	0	0	0	0	2	1	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	2	0	0	2	0	0	0	1	0	0	0	1	0	0	2	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
