cell	w	ty	tf	pval	pval2
gm12878	5000	TRUE	ATF2	0.5	0.5
gm12878	5000	FALSE	ATF2	0.5	0.5
gm12878	10000	TRUE	ATF2	0	0.5
gm12878	10000	FALSE	ATF2	0	0.5
gm12878	50000	TRUE	ATF2	0.5	0.5
gm12878	50000	FALSE	ATF2	0.5	0.5
gm12878	100000	TRUE	ATF2	0	0
gm12878	100000	FALSE	ATF2	0	0
k562	5000	TRUE	ARNT	0	0
k562	5000	FALSE	ARNT	0	0
k562	10000	TRUE	ARNT	0	0
k562	10000	FALSE	ARNT	0	0
k562	50000	TRUE	ARNT	0	0
k562	50000	FALSE	ARNT	0	0
k562	100000	TRUE	ARNT	0	0
k562	100000	FALSE	ARNT	0	0
