cell	w	ty	index	tf	him	nreal	meanrandom	pval	pval2
k562	50000	TRUE	ARNT_k562_0	ARNT	k562_0	2	6.01953818827709	0.884547069271758	0.959740497646492
k562	50000	TRUE	ARNT_k562_2	ARNT	k562_2	6	5.36	0.484	0.341645016789875
k562	50000	TRUE	ARNT_k562_3	ARNT	k562_3	6	10.156	0.858	0.849501529597196
k562	50000	TRUE	ARNT_k562_4	ARNT	k562_4	0	1.91224018475751	1	0.894387371311211
k562	50000	FALSE	ARNT_k562_0	ARNT	k562_0	2	6.01953818827709	0.884547069271758	0.959740497646492
k562	50000	FALSE	ARNT_k562_2	ARNT	k562_2	6	5.36	0.484	0.341645016789875
k562	50000	FALSE	ARNT_k562_3	ARNT	k562_3	6	10.156	0.858	0.849501529597196
k562	50000	FALSE	ARNT_k562_4	ARNT	k562_4	0	1.91224018475751	1	0.894387371311211
k562	100000	TRUE	ARNT_k562_0	ARNT	k562_0	3	6.91119005328597	0.884547069271758	0.93924361532742
k562	100000	TRUE	ARNT_k562_2	ARNT	k562_2	7	6.307	0.512	0.299058658202076
k562	100000	TRUE	ARNT_k562_3	ARNT	k562_3	14	13.136	0.468	0.40838638207314
k562	100000	TRUE	ARNT_k562_4	ARNT	k562_4	0	2.89145496535797	1	0.967299204561394
k562	100000	FALSE	ARNT_k562_0	ARNT	k562_0	3	6.91119005328597	0.884547069271758	0.93924361532742
k562	100000	FALSE	ARNT_k562_2	ARNT	k562_2	7	6.307	0.512	0.299058658202076
k562	100000	FALSE	ARNT_k562_3	ARNT	k562_3	14	13.136	0.468	0.40838638207314
k562	100000	FALSE	ARNT_k562_4	ARNT	k562_4	0	2.89145496535797	1	0.967299204561394
