Group.1	x.active	x.nucleous	x.other
HIM_0	  0.000000	  0.000000	100.000000
HIM_1	  0.000000	100.000000	  0.000000
HIM_10	  0.000000	  0.000000	100.000000
HIM_100	  0.000000	  0.000000	100.000000
HIM_101	  0.000000	 31.250000	 68.750000
HIM_102	  0.000000	  0.000000	100.000000
HIM_103	  0.000000	  0.000000	100.000000
HIM_104	  0.000000	  0.000000	100.000000
HIM_105	  0.000000	  0.000000	100.000000
HIM_106	  0.000000	  0.000000	100.000000
HIM_107	  0.000000	100.000000	  0.000000
HIM_108	 10.000000	  0.000000	 90.000000
HIM_109	  0.000000	  0.000000	100.000000
HIM_11	  0.000000	  0.000000	100.000000
HIM_110	100.000000	  0.000000	  0.000000
HIM_111	  0.000000	  0.000000	100.000000
HIM_112	  0.000000	100.000000	  0.000000
HIM_113	  0.000000	  0.000000	100.000000
HIM_114	  0.000000	  0.000000	100.000000
HIM_115	  0.000000	  0.000000	100.000000
HIM_116	  0.000000	  0.000000	100.000000
HIM_117	  0.000000	  0.000000	100.000000
HIM_118	  0.000000	  0.000000	100.000000
HIM_119	  0.000000	  0.000000	100.000000
HIM_12	  0.000000	  0.000000	100.000000
HIM_120	  0.000000	 66.666667	 33.333333
HIM_121	  0.000000	  0.000000	100.000000
HIM_122	  0.000000	  0.000000	100.000000
HIM_123	  0.000000	  0.000000	100.000000
HIM_124	  0.000000	  0.000000	100.000000
HIM_125	  0.000000	  0.000000	100.000000
HIM_126	  0.000000	  0.000000	100.000000
HIM_127	  0.000000	  0.000000	100.000000
HIM_128	  0.000000	  0.000000	100.000000
HIM_129	  0.000000	  0.000000	100.000000
HIM_13	  0.000000	  0.000000	100.000000
HIM_130	  0.000000	  0.000000	100.000000
HIM_131	  0.000000	  0.000000	100.000000
HIM_132	  0.000000	  0.000000	100.000000
HIM_133	  0.000000	  0.000000	100.000000
HIM_134	  0.000000	  0.000000	100.000000
HIM_135	  0.000000	  0.000000	100.000000
HIM_136	  0.000000	  0.000000	100.000000
HIM_137	  0.000000	  0.000000	100.000000
HIM_138	  0.000000	  0.000000	100.000000
HIM_139	  0.000000	  0.000000	100.000000
HIM_14	  0.000000	  0.000000	100.000000
HIM_140	  0.000000	  0.000000	100.000000
HIM_141	  0.000000	  0.000000	100.000000
HIM_142	  0.000000	  0.000000	100.000000
HIM_143	  0.000000	  0.000000	100.000000
HIM_144	  0.000000	  0.000000	100.000000
HIM_145	  0.000000	  0.000000	100.000000
HIM_146	  0.000000	  0.000000	100.000000
HIM_147	  0.000000	  0.000000	100.000000
HIM_148	  0.000000	  0.000000	100.000000
HIM_149	  0.000000	  0.000000	100.000000
HIM_15	  0.000000	  0.000000	100.000000
HIM_150	  0.000000	 43.750000	 56.250000
HIM_151	  0.000000	  0.000000	100.000000
HIM_152	  0.000000	  0.000000	100.000000
HIM_153	  0.000000	  0.000000	100.000000
HIM_154	  0.000000	  0.000000	100.000000
HIM_155	 33.333333	  0.000000	 66.666667
HIM_156	  0.000000	  0.000000	100.000000
HIM_157	  0.000000	  0.000000	100.000000
HIM_158	  0.000000	  0.000000	100.000000
HIM_159	  0.000000	100.000000	  0.000000
HIM_16	  0.000000	  0.000000	100.000000
HIM_160	  0.000000	  0.000000	100.000000
HIM_161	  0.000000	  0.000000	100.000000
HIM_162	  0.000000	  0.000000	100.000000
HIM_163	  0.000000	  0.000000	100.000000
HIM_164	  2.941176	 11.764706	 85.294118
HIM_165	  0.000000	  0.000000	100.000000
HIM_166	  0.000000	 54.545455	 45.454545
HIM_167	  0.000000	100.000000	  0.000000
HIM_168	  0.000000	  0.000000	100.000000
HIM_169	  0.000000	  0.000000	100.000000
HIM_17	  0.000000	  0.000000	100.000000
HIM_170	  0.000000	  0.000000	100.000000
HIM_171	  0.000000	  0.000000	100.000000
HIM_172	  0.000000	  0.000000	100.000000
HIM_173	  0.000000	 81.818182	 18.181818
HIM_174	  0.000000	  0.000000	100.000000
HIM_175	  0.000000	  0.000000	100.000000
HIM_176	  0.000000	100.000000	  0.000000
HIM_177	  0.000000	  0.000000	100.000000
HIM_178	  0.000000	  0.000000	100.000000
HIM_179	  0.000000	  0.000000	100.000000
HIM_18	  0.000000	  0.000000	100.000000
HIM_180	  0.000000	  0.000000	100.000000
HIM_181	  0.000000	  0.000000	100.000000
HIM_182	  0.000000	  0.000000	100.000000
HIM_183	  0.000000	  0.000000	100.000000
HIM_184	  0.000000	  0.000000	100.000000
HIM_185	  0.000000	  0.000000	100.000000
HIM_186	  0.000000	  0.000000	100.000000
HIM_187	  0.000000	  0.000000	100.000000
HIM_188	  0.000000	  0.000000	100.000000
HIM_189	  0.000000	  0.000000	100.000000
HIM_19	  0.000000	  0.000000	100.000000
HIM_190	  0.000000	  0.000000	100.000000
HIM_191	  0.000000	  0.000000	100.000000
HIM_192	  0.000000	100.000000	  0.000000
HIM_193	  0.000000	  0.000000	100.000000
HIM_194	  0.000000	  0.000000	100.000000
HIM_195	  0.000000	  0.000000	100.000000
HIM_196	  0.000000	  0.000000	100.000000
HIM_197	  0.000000	  0.000000	100.000000
HIM_198	  0.000000	  0.000000	100.000000
HIM_199	  0.000000	  0.000000	100.000000
HIM_2	  0.000000	  0.000000	100.000000
HIM_20	  0.000000	  0.000000	100.000000
HIM_200	  0.000000	  0.000000	100.000000
HIM_201	  0.000000	  0.000000	100.000000
HIM_202	  0.000000	  0.000000	100.000000
HIM_203	  0.000000	100.000000	  0.000000
HIM_204	  0.000000	100.000000	  0.000000
HIM_205	  0.000000	100.000000	  0.000000
HIM_206	  0.000000	 50.000000	 50.000000
HIM_207	  0.000000	  0.000000	100.000000
HIM_208	  0.000000	  0.000000	100.000000
HIM_209	  0.000000	  0.000000	100.000000
HIM_21	  0.000000	  0.000000	100.000000
HIM_210	  0.000000	  0.000000	100.000000
HIM_211	  0.000000	  0.000000	100.000000
HIM_212	  0.000000	  0.000000	100.000000
HIM_213	  0.000000	  0.000000	100.000000
HIM_214	  0.000000	  0.000000	100.000000
HIM_215	  0.000000	  0.000000	100.000000
HIM_216	  0.000000	  0.000000	100.000000
HIM_217	  0.000000	  0.000000	100.000000
HIM_218	  0.000000	  0.000000	100.000000
HIM_219	  0.000000	  0.000000	100.000000
HIM_22	  0.000000	  0.000000	100.000000
HIM_220	  0.000000	  0.000000	100.000000
HIM_221	  0.000000	  0.000000	100.000000
HIM_222	  0.000000	  0.000000	100.000000
HIM_223	  0.000000	  0.000000	100.000000
HIM_224	  0.000000	  0.000000	100.000000
HIM_225	  0.000000	  2.325581	 97.674419
HIM_226	  0.000000	 28.205128	 71.794872
HIM_227	  0.000000	  0.000000	100.000000
HIM_228	  0.000000	  0.000000	100.000000
HIM_229	  0.000000	  0.000000	100.000000
HIM_23	  0.000000	  0.000000	100.000000
HIM_230	  0.000000	  0.000000	100.000000
HIM_231	  0.000000	  0.000000	100.000000
HIM_232	  0.000000	  0.000000	100.000000
HIM_233	  0.000000	  0.000000	100.000000
HIM_234	  0.000000	  0.000000	100.000000
HIM_235	  0.000000	  0.000000	100.000000
HIM_236	  0.000000	  0.000000	100.000000
HIM_237	  0.000000	  0.000000	100.000000
HIM_238	  0.000000	  0.000000	100.000000
HIM_239	  0.000000	  0.000000	100.000000
HIM_24	  0.000000	  0.000000	100.000000
HIM_240	  0.000000	  0.000000	100.000000
HIM_241	  0.000000	  0.000000	100.000000
HIM_242	  0.000000	  0.000000	100.000000
HIM_243	  0.000000	  0.000000	100.000000
HIM_244	  0.000000	  0.000000	100.000000
HIM_245	  0.000000	  0.000000	100.000000
HIM_246	  0.000000	  0.000000	100.000000
HIM_247	  0.000000	  0.000000	100.000000
HIM_248	  0.000000	  0.000000	100.000000
HIM_249	  0.000000	  0.000000	100.000000
HIM_25	  0.000000	  0.000000	100.000000
HIM_250	  0.000000	  0.000000	100.000000
HIM_251	  0.000000	  0.000000	100.000000
HIM_252	  0.000000	  0.000000	100.000000
HIM_253	  0.000000	  0.000000	100.000000
HIM_254	  0.000000	  0.000000	100.000000
HIM_255	  0.000000	  0.000000	100.000000
HIM_256	  0.000000	  0.000000	100.000000
HIM_257	  0.000000	  0.000000	100.000000
HIM_258	  0.000000	  0.000000	100.000000
HIM_259	  0.000000	  0.000000	100.000000
HIM_26	  0.000000	  0.000000	100.000000
HIM_260	  0.000000	  0.000000	100.000000
HIM_261	  0.000000	  0.000000	100.000000
HIM_262	  0.000000	  0.000000	100.000000
HIM_263	 18.965517	  0.000000	 81.034483
HIM_264	100.000000	  0.000000	  0.000000
HIM_265	 72.727273	  0.000000	 27.272727
HIM_266	  0.000000	  0.000000	100.000000
HIM_267	  0.000000	100.000000	  0.000000
HIM_268	  0.000000	  0.000000	100.000000
HIM_269	  0.000000	  0.000000	100.000000
HIM_27	  0.000000	  0.000000	100.000000
HIM_270	  0.000000	  0.000000	100.000000
HIM_271	 60.000000	  0.000000	 40.000000
HIM_272	  0.000000	  4.545455	 95.454545
HIM_273	  0.000000	  0.000000	100.000000
HIM_274	  0.000000	  0.000000	100.000000
HIM_275	 77.777778	  0.000000	 22.222222
HIM_276	  0.000000	  0.000000	100.000000
HIM_277	  0.000000	  0.000000	100.000000
HIM_278	 90.740741	  0.000000	  9.259259
HIM_279	  0.000000	  0.000000	100.000000
HIM_28	  0.000000	  0.000000	100.000000
HIM_280	  0.000000	  0.000000	100.000000
HIM_281	  0.000000	 12.500000	 87.500000
HIM_282	  0.000000	  0.000000	100.000000
HIM_283	  0.000000	  0.000000	100.000000
HIM_284	  0.000000	  0.000000	100.000000
HIM_285	  0.000000	  0.000000	100.000000
HIM_286	  0.000000	  0.000000	100.000000
HIM_287	  0.000000	  0.000000	100.000000
HIM_288	  0.000000	  0.000000	100.000000
HIM_289	 44.827586	  0.000000	 55.172414
HIM_29	  0.000000	  0.000000	100.000000
HIM_290	 42.105263	  0.000000	 57.894737
HIM_291	  0.000000	  0.000000	100.000000
HIM_292	  0.000000	  0.000000	100.000000
HIM_293	  0.000000	  0.000000	100.000000
HIM_294	  0.000000	  0.000000	100.000000
HIM_295	  0.000000	 90.000000	 10.000000
HIM_296	  0.000000	  0.000000	100.000000
HIM_297	  0.000000	  0.000000	100.000000
HIM_298	  0.000000	  0.000000	100.000000
HIM_299	  0.000000	  0.000000	100.000000
HIM_3	  0.000000	  0.000000	100.000000
HIM_30	  0.000000	  0.000000	100.000000
HIM_300	 11.111111	  0.000000	 88.888889
HIM_301	  0.000000	  0.000000	100.000000
HIM_302	  0.000000	  0.000000	100.000000
HIM_303	  0.000000	  0.000000	100.000000
HIM_304	  0.000000	  0.000000	100.000000
HIM_305	  0.000000	  0.000000	100.000000
HIM_306	  0.000000	  0.000000	100.000000
HIM_307	  0.000000	100.000000	  0.000000
HIM_308	  0.000000	100.000000	  0.000000
HIM_309	  0.000000	  0.000000	100.000000
HIM_31	  0.000000	  0.000000	100.000000
HIM_310	  0.000000	 10.144928	 89.855072
HIM_311	  0.000000	  0.000000	100.000000
HIM_312	  0.000000	  0.000000	100.000000
HIM_313	  0.000000	  0.000000	100.000000
HIM_314	  9.821429	  2.678571	 87.500000
HIM_315	  0.000000	  8.928571	 91.071429
HIM_316	  0.000000	  0.000000	100.000000
HIM_317	  0.000000	  0.000000	100.000000
HIM_318	  0.000000	  0.000000	100.000000
HIM_319	  0.000000	  6.666667	 93.333333
HIM_32	  0.000000	  0.000000	100.000000
HIM_320	  0.000000	  0.000000	100.000000
HIM_321	  0.000000	  0.000000	100.000000
HIM_322	  0.000000	  0.000000	100.000000
HIM_323	  0.000000	  0.000000	100.000000
