gene	gm12878	hela	huvec	nhek	k562
IDH2	1	1	1	1	1
SEMA4B	1	1	1	1	1
GDPGP1	1	1	1	1	1
CIB1;NGRN	1	1	1	1	1
ZNF774	1	1	1	1	1
IQGAP1	1	1	1	1	1
CRTC3	1	1	1	1	1
BLM	1	1	2	1	1
FURIN	2	1	2	1	1
FES	0	1	2	2	1
MAN2A2	2	1	2	1	1
HDDC3;UNC45A	1	1	1	2	1
RCCD1	1	1	1	2	1
PRC1	1	2	1	2	1
VPS33B	1	1	1	2	1
SV2B	1	0	2	0	1
SLCO3A1	1	2	2	2	2
ST8SIA2	0	0	1	2	0
FAM174B	1	0	2	2	1
CHD2	2	1	2	2	1
RGMA	2	2	0	1	0
MCTP2	2	1	0	0	1
NR2F2	2	1	1	1	1
ARRDC4	0	2	2	2	1
PGPEP1L	0	0	0	1	0
SYNM	1	1	1	1	2
LRRC28;TTC23	2	1	1	1	2
POLR3K;SNRNP25	1	1	2	2	1
GRIN2A	2	2	0	0	0
LMF1;SOX8	1	1	1	1	1
ATF7IP2	2	2	2	1	2
EMP2	1	2	2	1	2
NUBP1	1	2	2	1	1
TVP23A	1	0	0	0	1
CIITA	1	2	0	0	2
CLEC16A;DEXI	1	1	1	1	1
SSTR5	0	1	1	0	0
SOCS1	1	2	1	2	1
PRM1;PRM2	1	2	0	0	0
RMI2	1	1	1	1	1
LITAF	1	1	1	2	1
SNN	1	1	1	1	1
TXNDC11	1	1	1	1	2
ZC3H7A	1	1	1	1	2
RSL1D1	1	1	1	1	1
MPG;RHBDF1	1	1	1	2	1
CACNA1H	0	1	2	0	1
GSPT1	1	2	1	1	1
TNFRSF17	1	1	0	0	0
TPSB2	0	0	0	0	1
CPPED1	2	2	1	2	2
TPSAB1	0	0	0	0	1
SHISA9	2	2	0	2	2
TPSD1	0	0	0	0	2
UBE2I	2	1	1	1	1
BAIAP3	2	1	1	2	1
GNPTG;TSR3	1	1	1	2	1
ERCC4	2	2	1	2	1
MKL2	2	2	1	2	1
UNKL	2	1	1	2	1
C16orf91	2	1	1	1	1
BFAR;PARN	1	2	1	1	1
PDXDC1	1	2	1	1	2
NTAN1	2	1	1	1	2
CLCN7	2	1	1	1	1
TELO2	1	1	1	1	1
MPV17L	0	1	1	1	1
C16orf45	1	1	1	1	1
TMEM204	0	0	1	1	1
KIAA0430;NDE1	2	1	1	1	1
MYH11	0	1	0	0	0
FOPNL	1	1	1	1	1
ABCC1	1	1	1	1	1
NOMO3	2	2	2	0	2
IFT140	1	1	1	1	1
HN1L	1	1	1	1	1
MAPK8IP3	1	1	1	1	1
XYLT1	2	2	2	1	1
NPRL3	1	1	1	2	1
MRPS34;NME3	1	1	1	1	1
NUBP2;SPSB3	1	1	1	1	1
FAHD1;HAGH	1	1	1	1	1
RPS15A	2	1	1	2	1
ARL6IP1	2	1	1	2	1
TMC7	0	1	1	2	1
COQ7	2	1	1	1	1
ITPRIPL2	2	1	1	2	1
SYT17	2	1	1	2	0
MEIOB	0	1	1	0	1
TMC5	0	1	0	0	1
CCP110;GDE1	1	1	1	2	1
C16orf62	1	1	1	2	2
HS3ST6	0	0	0	1	0
IQCK;KNOP1	2	1	2	2	1
GPRC5B	2	1	1	2	2
MSRB1	1	1	1	1	1
HBZ	1	0	0	0	1
NDUFB10	1	1	1	1	1
RPS2	1	1	1	1	1
TBL3	1	1	1	1	1
GFER;NOXO1;SYNGR3	1	1	1	1	1
ACSM5	0	0	1	0	0
ZNF598	1	1	1	1	1
NPW	1	1	1	1	1
SLC9A3R2	2	1	1	1	1
THUMPD1	2	1	1	2	1
ACSM3	2	1	1	2	1
ERI2	1	1	1	1	1
NTHL1;TSC2	1	1	1	1	1
DCUN1D3;LYRM1	1	1	1	1	1
HBM	0	0	0	0	1
TMEM159	1	1	1	1	1
ZP2	0	0	0	0	2
ANKS4B	1	0	0	0	0
CRYM	1	1	0	1	1
METTL9	2	1	1	1	1
IGSF6	0	0	0	0	1
RAB26	1	1	1	1	1
HBA1	0	0	0	0	1
TRAF7	1	1	1	1	1
C16orf52	1	1	1	2	1
EEF2K	1	1	1	1	1
POLR3E	1	1	1	2	1
CDR2	1	1	1	1	1
CASKIN1	0	1	1	1	1
MLST8	1	1	1	1	1
PGP;BRICD5	1	1	1	1	1
E4F1	1	1	1	1	1
HS3ST2	0	0	0	1	0
HBQ1	0	0	2	1	1
ECI1	1	1	1	1	1
RNPS1	1	1	1	1	1
USP31	1	1	1	2	1
SCNN1G	1	0	1	2	0
SCNN1B	1	0	1	2	0
COG7	1	1	1	2	1
GGA2	1	1	1	2	1
EARS2;UBFD1	1	1	1	2	1
NDUFAB1	1	1	1	2	1
DCTN5;PALB2	1	1	1	2	1
PLK1	1	1	1	2	1
CHP2	0	0	0	0	1
PRKCB	1	1	1	2	1
ABCA3	1	1	1	1	1
RBBP6	1	1	2	1	1
CCNF	1	1	1	1	1
TNRC6A	2	1	1	2	2
ARHGAP17	2	2	2	2	1
C16orf59	1	1	1	1	1
LCMT1	2	1	1	2	1
NTN3;TBC1D24	1	1	1	1	1
ZKSCAN2	1	1	2	2	2
ATP6V0C	2	1	1	1	1
AMDHD2	2	1	1	2	1
PDPK1	2	1	1	1	1
LUC7L	1	1	1	2	1
KDM8	1	2	1	2	1
NSMCE1	1	2	1	2	1
KCTD5	1	1	1	1	1
IL4R	1	2	1	2	1
IL21R	1	1	2	2	1
GTF3C1;KIAA0556	1	2	1	2	1
PRSS27	0	0	0	1	0
SRRM2	1	1	1	1	1
GSG1L	0	0	1	0	0
TCEB2	1	1	1	1	1
XPO6	2	2	2	2	1
SBK1	2	2	2	2	2
APOBR;CLN3	2	2	1	2	1
IL27	2	0	0	0	0
NUPR1	2	2	2	1	2
PRSS21	0	1	1	1	1
SULT1A2	0	2	2	0	1
SULT1A1	2	2	1	1	1
EIF3C	1	1	2	1	1
ZG16B	1	1	0	1	1
ATXN2L	1	1	1	2	1
SH2B1;TUFM	1	2	1	1	1
RABEP2	1	1	2	2	2
CD19	1	2	0	0	0
NFATC2IP	1	1	2	2	2
SPNS1	1	1	1	1	1
LAT	1	2	2	0	2
PRSS22	0	1	0	1	1
FLYWCH2	1	1	1	1	1
FLYWCH1	1	1	1	1	1
SPN	2	2	0	0	2
QPRT	2	2	2	2	2
C16orf54	2	0	0	0	2
KIF22	2	1	2	2	2
MAZ	2	1	2	2	2
PAGR1;PRRT2	2	1	1	2	2
MVP	2	1	2	2	2
CDIPT	2	2	2	1	2
ASPHD1;SEZ6L2	2	1	2	2	1
TMEM219	2	1	1	2	2
TAOK2	1	1	1	1	1
HIRIP3;INO80E	1	1	1	2	1
DOC2A	2	0	0	0	0
FAM57B	0	2	0	0	0
ALDOA	2	1	1	1	2
PPP4C	1	1	2	2	2
KREMEN2;PAQR4	1	1	1	1	1
YPEL3;TBX6	2	2	2	2	1
GDPD3	0	1	2	2	2
MAPK3	2	1	2	2	2
CORO1A	2	1	1	1	1
PKMYT1	1	2	1	1	1
CD2BP2	1	1	1	1	1
TBC1D10B;ZNF48	1	1	1	1	1
SEPT1	1	1	0	0	1
ZNF771	1	1	1	1	1
DCTPP1	1	1	2	1	1
SEPHS2	1	1	2	1	1
ITGAL	1	0	0	0	1
ZNF768	1	1	1	1	1
ZNF747	1	1	1	1	1
ZNF764	1	1	1	1	1
ZNF688	1	1	2	1	1
ZNF785	1	1	1	1	1
CLDN6	0	1	0	1	1
ZNF689	1	1	1	1	1
PRR14	1	1	1	1	1
FBRS	1	1	2	1	1
HCFC1R1;THOC6;TNFRSF12A	1	1	2	1	1
SRCAP	1	1	1	1	1
PHKG2	1	1	2	1	1
RNF40	1	1	2	1	1
ZNF629	1	1	1	1	1
MMP25	1	2	2	1	1
BCL7C;CTF1	1	1	2	1	1
FBXL19	1	0	2	1	1
ORAI3;SETD1A	1	1	2	1	1
HSD3B7	1	1	2	1	1
STX1B	1	0	0	0	1
STX4	1	1	2	1	1
ZNF646;ZNF668	1	1	1	1	1
IL32	1	2	2	1	1
VKORC1	1	1	2	1	1
BCKDK	1	1	2	1	1
KAT8	1	1	2	1	1
PRSS8	0	1	0	1	1
PRSS36	0	1	0	0	0
FUS	1	1	1	1	1
PYCARD	1	1	1	1	1
TRIM72	0	0	0	0	1
ITGAM	1	0	0	0	1
ITGAX	1	1	1	0	1
ITGAD	1	0	0	0	0
ZNF843	0	1	2	1	1
ARMC5	1	1	2	1	1
TGFB1I1	1	1	2	1	1
C16orf58	1	1	1	1	1
AHSP	0	0	0	0	1
ZNF205	1	2	2	1	1
ZNF720	1	1	2	1	1
ZNF213	1	1	2	1	1
ZNF267	2	1	2	1	1
RGS11	0	0	1	0	1
ZNF200	1	1	2	1	1
ARHGDIG;PDIA2	1	0	2	1	1
MEFV	0	2	0	1	1
ZNF263	1	2	2	1	1
TIGD7;ZNF75A	1	1	2	1	1
ZNF174;ZSCAN32	1	2	2	1	1
NAA60;ZNF597	1	1	1	2	1
CLUAP1	1	2	2	1	1
NLRC3	1	0	1	0	1
SLX4	1	1	2	2	1
DNASE1	0	0	2	0	1
TRAP1	2	1	2	2	1
CREBBP	1	1	1	2	1
AXIN1	1	1	1	2	1
ADCY9	0	1	1	1	1
MRPL28	1	1	1	1	1
SRL	1	1	0	0	1
TMEM8A	1	1	1	2	1
TFAP4	1	1	1	1	1
GLIS2	2	2	2	2	2
NME4	1	1	1	2	1
PAM16	1	1	1	1	1
VASN	0	1	0	1	1
CORO7;CORO7-PAM16	1	1	1	1	1
DNAJA3	1	1	1	1	1
DECR2	1	1	1	2	1
HMOX2;NMRAL1	1	1	1	1	1
CDIP1	1	1	1	1	1
UBALD1	1	1	1	1	1
SHCBP1	1	2	2	1	1
MGRN1	1	1	1	1	1
ORC6;VPS35	1	1	1	1	1
MYLK3	0	0	0	0	1
C16orf87	1	2	1	2	1
GPT2	1	2	1	2	1
RAB11FIP3	1	1	2	1	1
DNAJA2	1	2	1	1	1
NETO2	1	2	2	2	1
NUDT16L1	1	1	1	1	1
ITFG1;PHKB	1	2	1	2	1
ANKS3;C16orf71	1	1	1	1	1
ZNF500	1	1	1	1	1
LONP2	1	1	2	2	2
SIAH1	1	1	1	2	2
ROGDI	1	1	1	1	1
N4BP1	1	1	1	2	2
GLYR1;UBN1	2	1	1	2	2
PPL	0	1	2	2	2
ZNF423	2	2	2	2	2
SEC14L5	0	1	0	0	2
CNEP1R1	2	2	2	2	2
HEATR3	2	1	1	1	2
PAPD5	2	1	1	1	2
ADCY7	1	1	1	1	2
BRD7	1	2	2	2	2
NKD1	1	1	2	2	2
SNX20	1	0	0	0	2
NOD2	1	0	0	0	0
CYLD	1	1	1	1	2
NAGPA	2	1	2	2	2
C16orf89	2	0	0	0	0
ALG1	2	1	2	2	2
TOX3	0	0	0	2	0
CHD9	1	1	1	1	1
RBL2	1	1	2	1	1
AKTIP	1	1	2	1	1
FTO;RPGRIP1L	2	1	1	2	1
IRX3	2	1	2	2	2
IRX5	2	1	2	2	2
IRX6	2	2	2	2	2
MMP2	0	1	2	1	1
LPCAT2	0	2	1	2	1
CAPNS2	0	0	0	2	0
CES1	1	2	0	1	0
GNAO1	2	1	2	1	2
AMFR	1	1	1	2	2
NUDT21;OGFOD1	1	1	1	2	2
BBS2	1	1	1	1	2
MT4	0	1	0	0	1
MT3	1	0	1	0	1
MT2A	1	1	2	2	1
MT1E	1	1	1	2	1
MT1M	0	1	1	1	1
MT1A	0	1	1	2	0
MT1F	1	1	1	1	1
MT1G;MT1H	1	1	1	2	1
MT1X	1	1	1	1	1
NUP93	1	1	1	1	1
SLC12A3	0	1	0	0	2
HERPUD1	1	1	1	2	1
CETP	0	0	1	0	1
CAPN15	1	1	1	2	1
NLRC5	1	1	1	2	1
CPNE2	1	1	1	2	1
FAM192A	1	1	1	2	1
RSPRY1	1	1	1	2	1
ARL2BP	1	1	1	2	1
PLLP	1	1	1	2	1
CCL22	1	1	1	2	0
CX3CL1	1	1	1	2	0
CIAPIN1;COQ9	1	1	1	2	1
POLR2C	1	1	1	2	1
DOK4	1	1	1	2	1
CCDC102A	1	1	1	2	1
KATNB1	1	1	1	1	1
KIFC3	0	1	2	2	1
CNGB1	0	0	0	0	2
USB1;ZNF319	1	1	1	2	1
MMP15	1	1	1	2	1
CSNK2A2	2	1	2	2	1
CCDC113	2	1	1	1	1
GINS3	1	1	1	2	2
NDRG4	2	1	1	2	1
SETD6	2	2	1	2	1
CNOT1	2	1	1	2	1
SLC38A7	2	2	2	2	2
GOT2	2	2	1	2	2
RBFOX1	2	2	0	2	0
NHLRC4;PIGQ	1	1	1	2	1
RAB40C	1	1	2	1	1
CDH11	1	0	1	1	0
CDH5	0	1	1	1	0
BEAN1	0	0	0	1	0
CKLF;CKLF-CMTM1;TK2	1	1	1	1	2
CMTM1	1	2	1	0	2
CMTM3	1	1	2	1	2
CMTM4	1	1	2	1	2
DYNC1LI2	1	1	2	1	2
NAE1	1	1	2	1	1
CA7	1	0	0	0	2
PDP2	1	1	1	1	1
CDH16;RRAD	1	1	2	1	1
CES2;FAM96B	1	1	1	1	1
CES3	1	1	1	1	1
CES4A	0	1	1	2	1
CBFB	1	1	1	1	1
C16orf70	1	1	1	2	1
B3GNT9	1	1	1	2	1
FBXL8;HSF4;TRADD	1	1	1	2	1
NOL3	1	1	1	1	1
KIAA0895L	1	1	1	2	1
E2F4;EXOC3L1	1	1	1	2	1
ELMO3	0	1	0	1	0
LRRC29;TMEM208	1	1	2	1	1
FHOD1;SLC9A5	1	1	1	1	1
PLEKHG4	1	1	1	2	1
KCTD19;LRRC36	1	0	1	2	1
TPPP3	0	0	2	1	0
ZDHHC1	1	1	1	2	1
HSD11B2	0	1	0	1	1
ATP6V0D1	1	1	2	1	1
FAM65A	2	1	1	1	1
CTCF	2	1	1	1	1
ACD;PARD6A	2	1	1	1	1
C16orf86;ENKD1	2	1	1	1	1
GFOD2	2	1	1	1	1
RANBP10;TSNAXIP1	2	1	1	1	1
THAP11	1	1	1	1	1
CENPT;NUTF2	1	1	1	1	1
EDC4	1	1	2	1	1
NRN1L	0	0	0	0	1
PSKH1	2	1	1	1	1
PSMB10;LCAT	1	1	1	1	1
C16orf13;WFIKKN1	1	1	1	1	1
SLC12A4	1	1	1	1	1
DPEP3	0	0	2	0	0
DPEP2	0	1	2	0	1
DUS2	1	1	1	1	1
NFATC3	1	1	1	1	1
PLA2G15;ESRP2	1	1	2	1	1
SLC7A6	1	1	1	1	1
PRMT7;SLC7A6OS	1	1	2	1	1
SMPD3	1	0	0	1	0
ZFP90	1	1	2	1	1
CDH3	1	2	0	2	1
CDH1	1	0	1	1	1
TANGO6	2	1	1	2	1
HAS3	0	1	1	2	2
CHTF8	2	1	1	2	1
SNTB2	1	1	1	2	1
VPS4A	1	1	1	2	1
PDF	1	1	1	2	1
COG8;NIP7	1	1	1	2	1
TERF2	1	1	1	2	1
CYB5B	2	1	1	2	1
NFAT5	1	1	1	2	1
NQO1	1	1	1	2	1
NOB1	1	1	1	2	1
WWP2	1	1	1	2	1
PDPR	2	1	1	2	2
EXOSC6	1	1	1	2	2
AARS;DDX19B	1	1	2	2	2
DDX19A	1	1	2	2	2
ST3GAL2	1	1	2	2	1
FUK	1	1	2	1	1
COG4;SF3B3	1	1	2	1	2
IL34	0	1	0	2	0
MTSS1L	0	1	1	1	2
VAC14	1	1	1	1	2
RHOT2	1	1	1	1	1
HYDIN	0	0	0	1	0
CMTR2	2	1	2	1	2
CALB2	2	1	0	1	2
ZNF23	2	2	1	1	2
ZNF19	1	1	1	1	2
CHST4	2	0	0	1	0
MARVELD3	2	0	0	2	0
AP1G1	2	2	1	2	2
ATXN1L	2	2	1	2	1
ZNF821	2	1	1	2	1
IST1	1	1	1	2	1
RHBDL1	1	0	0	1	1
DHODH	1	2	1	1	2
DHX38;TXNL4B	2	2	1	1	2
JMJD8;STUB1	1	1	1	1	1
ZFHX3	1	1	1	2	0
WDR24	1	1	1	2	1
PSMD7	2	1	1	2	1
GLG1	2	2	1	1	1
RFWD3	1	1	2	1	1
MLKL	2	1	2	1	1
FA2H	2	1	0	1	1
FBXL16	0	1	1	1	1
WDR59	2	1	1	1	1
ZNRF1	1	1	1	1	1
LDHD	0	1	1	1	1
ZFP1	1	1	1	1	1
BCAR1	2	1	1	1	1
CFDP1	2	1	1	1	1
TMEM170A	2	1	1	1	1
CHST6	2	2	1	1	2
TMEM231	2	1	1	1	1
GABARAPL2	2	1	1	1	1
ADAT1	2	1	1	1	1
KARS;TERF2IP	2	1	1	1	2
METRN	1	1	1	1	1
CNTNAP4	1	0	0	0	2
FAM173A;HAGHL;CCDC78	1	1	1	1	1
MON1B	2	1	1	2	1
ADAMTS18	0	2	1	0	0
NUDT7	2	2	1	1	2
VAT1L	0	0	1	0	0
WWOX	2	1	1	1	1
NARFL	1	1	1	1	1
MAF	2	2	1	1	2
DYNLRB2	0	0	1	1	1
CDYL2	2	1	1	2	2
MSLN	1	1	0	1	0
CENPN;CMC2	2	1	1	1	1
ATMIN	2	1	1	2	1
C16orf46	2	1	1	1	1
GCSH	2	1	1	2	1
PKD1L2	0	1	1	0	0
GAN	1	1	1	2	1
CMIP	1	1	1	1	1
PLCG2	1	1	1	2	1
SDR42E1	1	0	1	1	1
HSD17B2	0	0	1	1	0
MPHOSPH6	1	1	1	1	1
CDH13	0	1	1	1	0
CHTF18;RPUSD1	1	1	1	2	1
HSBP1	2	1	1	1	1
MLYCD	2	1	1	1	1
OSGIN1	2	1	1	1	1
NECAB2	2	1	0	0	0
MBTPS1	1	1	1	1	1
HSDL1	1	1	1	1	1
TAF1C	1	1	1	1	1
WFDC1	1	1	0	1	1
ATP2C2	0	0	0	2	0
TLDC1	1	1	1	1	2
COTL1	1	1	1	2	2
KLHL36	1	1	1	2	1
USP10	1	1	1	1	2
CRISPLD2	1	2	1	1	1
GNG13	1	0	0	0	0
ZDHHC7	1	1	1	2	1
KIAA0513	1	1	1	2	2
GSE1	1	2	1	2	1
GINS2	1	1	1	1	2
C16orf74	1	1	1	1	2
COX4I1;EMC8	1	1	1	1	2
IRF8	1	1	2	2	2
FOXF1	1	1	2	2	2
MTHFSD	1	1	1	1	2
FOXC2	1	1	1	2	2
FOXL1	2	1	1	1	2
METTL22	2	2	1	1	2
C16orf95	2	2	1	2	1
FBXO31;MAP1LC3B	1	2	1	1	1
ABAT	2	2	1	1	2
JPH3	2	0	0	0	0
KLHDC4	1	1	1	1	1
SLC7A5	1	1	1	1	1
BANP	1	1	1	1	1
ZFPM1	1	1	1	1	1
ZC3H18	1	1	1	1	1
IL17C	0	0	0	2	0
CYBA	1	1	1	1	1
MVD	1	1	1	1	1
SNAI3	1	1	1	1	1
CTU2;RNF166	1	1	1	1	1
APRT	1	1	1	1	1
PMM2;TMEM186	1	1	1	1	1
GALNS;TRAPPC2L	1	1	1	1	1
CBFA2T3	1	0	0	0	1
ACSF3	1	1	1	1	1
CDH15	0	1	0	0	1
ZNF778	1	1	1	1	1
ANKRD11	1	1	1	1	1
SPG7	1	1	1	1	1
CARHSP1	1	1	1	1	1
RPL13	1	1	1	1	1
CPNE7	1	1	1	1	1
DPEP1	0	0	1	0	1
CHMP1A;SPATA33	1	1	1	1	1
CDK10	1	1	1	1	1
SPATA2L	1	1	1	1	1
VPS9D1;ZNF276	1	1	1	1	1
FANCA	1	1	1	1	1
SPIRE2	1	1	1	2	1
TCF25	1	1	1	2	1
TUBB3	1	1	1	2	1
DEF8	1	1	1	2	1
CENPBD1	1	1	1	2	1
DBNDD1;GAS8	2	1	2	2	1
C16orf72	1	2	2	1	2
GAS7	1	2	0	2	0
MYH13	0	0	0	2	0
MYH3	0	0	0	2	0
ADPRM;SCO1	2	1	2	2	1
TMEM220	2	1	2	2	1
SHISA6	0	0	2	0	0
ABR	1	1	2	1	1
DNAH9	2	0	0	0	0
TUSC5	0	0	0	0	1
ZNF18	2	1	2	2	2
MAP2K4	2	2	2	2	2
MYOCD	1	0	0	0	0
ARHGAP44	2	1	2	1	2
ELAC2	2	1	1	2	2
YWHAE	1	1	1	2	1
CRK	1	1	1	1	1
HS3ST3A1	2	0	0	0	1
MYO1C	1	1	1	1	1
COX10	2	2	2	2	1
INPP5K	1	1	1	1	1
HS3ST3B1	2	1	0	2	1
PITPNA	1	1	1	1	1
PMP22	0	2	2	1	2
SLC43A2	1	1	1	2	1
SCARF1	1	0	1	0	1
TVP23C	0	2	2	1	2
RILP	0	1	1	2	1
TRIM16	2	2	2	1	2
PRPF8	1	1	1	2	1
ADORA2B	2	1	1	1	2
TTC19;ZSWIM7	2	1	2	1	2
WDR81	1	1	1	2	1
NCOR1	2	1	1	1	2
PIGL	2	1	2	1	2
CENPV	2	1	1	1	2
TRPV2	2	1	1	0	2
SERPINF2	1	0	0	0	0
ZNF287	2	1	1	2	2
ZNF624	2	1	1	2	2
CCDC144A	2	1	1	2	0
SERPINF1	1	1	0	2	1
TNFRSF13B	1	0	0	0	0
MPRIP	2	1	2	2	2
PLD6	1	1	2	2	2
FLCN	1	1	2	2	2
COPS3	1	1	1	2	1
NT5M	1	1	1	2	1
RPA1;SMYD4	1	1	1	2	1
MED9	1	1	1	1	1
RASD1	1	1	1	2	1
PEMT	1	1	1	2	1
RAI1	1	1	1	2	1
SREBF1	1	1	1	2	1
TOM1L2	1	1	1	2	1
ATPAF2;GID4	1	1	1	2	1
DRG2	1	1	1	1	1
ALKBH5	1	0	1	0	0
LLGL1	1	1	1	2	1
FLII;MIEF2	1	1	1	2	2
SMCR8;TOP3A	2	2	1	2	2
SHMT1	2	1	1	1	2
LGALS9C	2	2	0	0	0
TRIM16L	2	2	2	1	2
TVP23B	2	2	2	2	1
PRPSAP2	2	2	1	2	2
FAM83G	2	2	1	2	2
RTN4RL1	0	0	1	1	1
B9D1;MAPK7	1	2	1	2	2
MFAP4	0	2	0	2	0
DPH1	1	1	1	2	1
RNF112	0	0	1	0	0
OVCA2	1	1	1	1	1
SLC47A1	0	2	1	2	0
HIC1	1	2	1	1	1
ALDH3A2	2	1	1	2	2
ALDH3A1	2	1	1	2	2
ULK2	2	2	1	2	2
AKAP10	2	1	1	1	1
SPECC1	2	1	1	1	2
RPH3AL	0	0	2	1	2
CCDC144NL	2	1	1	0	0
USP22	2	1	1	2	1
DHRS7B	2	1	2	2	1
TMEM11	2	1	2	2	1
MAP2K3	2	1	2	2	1
KCNJ12	2	1	2	1	1
C17orf51	2	1	2	2	1
SMG6;SRR	1	1	1	1	1
SGSM2	1	1	1	1	1
MNT	1	1	1	1	1
METTL16	1	2	1	1	1
PAFAH1B1	1	1	1	1	2
WSB1	2	1	1	1	1
KSR1	1	1	2	1	1
LGALS9	2	1	1	1	1
C17orf97	2	2	2	1	2
CLUH	1	2	2	1	2
LYRM9	1	1	1	1	1
NLK	1	1	1	1	1
TMEM97	1	1	1	2	2
IFT20;TNFAIP1	1	1	1	2	2
POLDIP2;TMEM199	1	1	1	2	2
VTN	0	1	1	0	2
SLC46A1	1	1	1	2	2
SLC13A2	0	1	0	0	0
FOXN1	1	2	2	2	2
UNC119	1	1	1	1	1
PIGS	1	1	1	1	1
RAP1GAP2	1	2	0	0	2
ALDOC	1	1	1	1	1
SPAG5	1	1	1	1	1
KIAA0100	1	1	1	1	1
SDF2;SUPT6H	1	1	1	1	1
PROCA1	1	1	1	1	1
RAB34	1	1	1	1	1
NEK8;TLCD1	1	1	1	2	1
TRAF4	1	1	1	1	1
FAM222B	1	1	1	1	1
ERAL1	1	1	1	1	1
FLOT2	1	1	1	1	1
DHRS13	1	1	1	1	1
PHF12	1	1	1	1	1
SEZ6	0	0	0	2	0
PIPOX	0	0	1	0	1
MYO18A	1	1	1	1	1
NUFIP2	1	1	1	1	1
TAOK1	1	1	1	1	1
ABHD15;TP53I13	1	1	1	1	1
GIT1	1	1	1	1	1
ANKRD13B	1	1	1	1	1
CORO6	1	1	1	1	1
EFCAB5;SSH2	1	1	1	1	1
NSRP1	1	1	1	1	1
SLC6A4	0	1	0	0	0
BLMH	2	2	2	2	2
CPD	2	1	1	2	2
GOSR1	2	2	2	2	2
ATAD5;CRLF3	1	1	2	1	1
TEFM	2	2	1	1	0
ADAP2	2	0	2	2	1
RNF135	2	1	2	1	1
NF1	2	1	1	2	1
EVI2A;EVI2B	1	1	1	1	1
RAB11FIP4	2	1	0	2	1
DOC2B	2	2	2	1	2
COPRS	2	1	1	2	1
UTP6	2	1	1	1	1
SUZ12	2	1	1	2	1
LRRC37B	0	2	0	0	0
RHOT1	1	2	1	1	1
C17orf75	1	1	1	1	1
ZNF207	1	1	1	1	1
PSMD11	1	1	1	1	1
CDK5R1	1	1	1	1	1
MYO1D	1	1	1	1	1
TMEM98	1	1	1	1	1
CCL2	2	2	2	1	1
CCL7	0	2	2	0	0
CCL1	2	0	0	0	2
CCT6B;ZNF830	2	1	2	1	1
LIG3	2	1	2	1	1
RFFL	1	1	1	1	1
RAD51D	1	1	2	1	1
NLE1	1	1	1	1	1
UNC45B	1	0	0	0	0
SLFN5	1	1	1	1	1
ASPA	2	0	0	0	0
SLFN11	1	1	1	1	1
SLFN12	1	1	1	1	1
SLFN13	1	1	1	1	1
SLFN12L	1	0	0	1	1
PEX12	1	1	1	1	1
AP2B1	1	1	1	1	1
RASL10B	0	0	2	2	1
SPATA22	0	0	2	0	1
MMP28	0	1	1	2	0
TAF15	1	1	1	2	1
CCL5	1	1	2	2	1
RDM1	1	1	1	2	1
CCL14	0	0	1	0	1
CCL15	0	0	1	0	1
CCL23	2	0	1	0	1
CCL18	1	0	0	0	0
CCL3	1	1	0	0	1
CCL4	1	0	0	0	1
TRPV3	1	0	0	2	1
ZNHIT3	2	1	1	2	2
MYO19;PIGW	1	2	1	2	1
GGNBP2	2	1	2	1	2
DHRS11	1	2	1	2	1
MRM1	2	2	1	2	2
LHX1	2	2	2	2	2
CTNS;SHPK	1	2	2	2	1
AATF	2	2	2	1	1
EMC6;TAX1BP3	1	2	2	2	1
ACACA;TADA2A	2	2	2	2	1
DUSP14	1	1	2	2	1
P2RX5	1	1	2	2	1
SYNRG	2	2	2	2	2
DDX52	2	2	2	2	2
HNF1B	2	2	2	2	2
GSG2	1	1	2	2	1
MRPL45	1	2	1	2	1
SOCS7	1	2	2	2	2
ARHGAP23	1	2	1	2	1
SRCIN1	1	2	1	2	2
C17orf96	1	2	2	1	2
MLLT6	1	2	2	2	2
CISD3	1	2	1	2	2
PCGF2;PSMB3	1	2	1	2	1
PIP4K2B	2	2	1	2	2
CWC25	1	2	2	2	2
RPL23	1	2	2	2	1
LASP1	2	1	1	2	1
FBXO47	0	2	0	0	0
PLXDC1	2	2	0	0	0
CACNB1;RPL19	2	2	2	2	2
FBXL20	1	2	1	1	1
MED1	1	1	1	1	1
CDK12	1	2	1	1	1
NEUROD2	2	2	2	2	2
PPP1R1B	0	2	1	1	1
STARD3	1	1	1	1	1
PNMT	0	0	0	0	1
ERBB2;PGAP3	1	1	2	1	1
MIEN1	1	1	1	1	1
GRB7	1	1	1	1	1
CAMKK1	1	1	2	1	1
IKZF3	1	1	2	2	1
GSDMB	1	0	0	0	0
ORMDL3	1	1	1	1	1
P2RX1	1	1	2	0	1
GSDMA	1	2	0	1	0
PSMD3	1	1	1	1	1
CSF3	1	0	2	1	1
MED24;THRA	1	1	1	1	1
NR1D1	1	1	1	1	1
MSL1	1	1	1	1	1
CASC3	1	1	1	1	1
RAPGEFL1	1	1	1	1	1
WIPF2	1	1	1	1	1
CDC6	1	1	1	2	1
RARA	1	1	1	2	1
TOP2A	1	1	1	2	1
IGFBP4	1	1	1	2	1
ATP2A3	1	1	2	0	1
TNS4	0	1	0	1	1
CCR7	1	1	1	0	1
SMARCE1	1	1	1	1	1
KRT222	1	1	1	2	1
KRT24	0	0	0	2	0
