LaminAC_bin_mean	LaminAC_gene_mean	LaminB_bin_mean	LaminB_gene_mean	SON_Sucrose_bin_mean	SON_Sucrose_gene_mean	index	source
-1.1226002087682687	-1.2655500000000002	-1.8194576779026221	-1.8439249999999998	1.302416845878137	1.3639000000000001	0	him
-0.8179476752767524	-0.78593125	-1.6969580471380474	-1.8680062500000003	0.6558500652741508	0.5901375	1	him
-0.8800731851851852	-0.885125	-1.8656505361930307	-1.9705375	1.2135514285714297	1.2558	2	him
-0.9390660211267604	-0.8833826086956521	-2.0632398535564835	-2.1480043478260877	1.4866343112879181	1.4143695652173915	3	him
-0.160525153374233	-0.14830000000000002	0.03627717601547371	0.0717	-0.37019335863377584	-0.31811666666666666	4	him
-1.5256281774580334	-1.6045500000000001	-1.9197951793721966	-1.9219199999999996	0.8358944157187184	0.87012	5	him
0.2237270194986072	0.05933333333333335	-0.2827044973544977	-0.12393333333333335	0.24869776021080364	0.16813333333333336	6	him
-1.0883616509028358	-1.1563999999999999	-1.8717544207317074	-2.0596111111111113	1.305656223479489	1.3690499999999999	7	him
0.39923787085514845	0.39595714285714284	-0.3733690972222224	-0.5059142857142856	-0.27419307958477496	-0.3550285714285714	8	him
0.02598981233243967	-0.07920999999999997	-0.20039579081632627	-0.037329999999999995	-0.045539237392373935	-0.15993	9	him
-0.308425925925926	-0.3525285714285714	-0.5197812182741112	-0.4251785714285714	0.06681374795417354	0.08417142857142856	10	him
-1.5202119373776912	-1.5026	-1.6959485822306228	-1.6779166666666665	0.36468292253521145	0.38694999999999996	11	him
0.5731748890860685	0.3690692307692308	-0.02807575236457446	0.1096230769230769	-0.2551502613240419	-0.2829384615384616	12	him
0.2747487288135592	0.2964625	-0.05959243959470023	-0.12455624999999995	-0.19806272	-0.22521875	13	him
-0.5246393656716415	-0.660625	-0.9380117318435753	-0.8513499999999999	-0.011691304347826094	-0.0222875	14	him
0.3167952908587261	0.268	0.4509851655629142	0.479825	-0.7896642265193354	-0.8052124999999999	15	him
-0.3508412479740689	-0.4211285714285714	-1.1922371493555728	-1.0950642857142858	0.4450638022813685	0.4136428571428571	16	him
0.2543404293381035	0.15316666666666665	-0.06841927710843368	0.04746666666666668	-0.25057110332749544	-0.26513333333333333	17	him
-0.8387066777963269	-0.9357599999999999	-0.6075573505654278	-0.47909999999999997	-0.16581031866464338	-0.24817999999999998	18	him
-0.18062934131736552	-0.17883333333333334	-0.3952546104360256	-0.34555	-0.3351297142857145	-0.38195555555555555	19	him
0.31887146853146847	0.2251	-0.2894560686015832	-0.41207777777777777	-0.19876800535475253	-0.13132222222222223	20	him
0.3690743142144634	0.2799333333333333	0.5548110311750606	0.6569333333333334	-0.7941996207332489	-0.8932444444444444	21	him
